SpammerType,method,percent,acc_mean,acc_std,wacc_mean,wacc_std,tau_mean,tau_std
anti,GradEM,10,0.7908385515213012,7.582997829135214e-05,0.8725792050361634,6.538826653457152e-05,0.5769210981143076,0.0001504030219393
anti,barp,10,0.7855277299880982,3.004356968897973e-05,0.8681366682052613,2.4787768079120493e-05,0.5663863067466289,5.959449882077662e-05
anti,bt,10,0.785500556230545,3.08346672077637e-05,0.8681171000003814,2.6377953892718183e-05,0.5663324068317745,6.117170933886682e-05
anti,crowdbt,10,0.7899576580524444,0.0002349797960095,0.8719872748851776,0.0001565520975165,0.5751737143341635,0.000466123051291
anti,factorbt,10,0.7899576127529144,3.050750944906401e-05,0.8284351646900177,8.529377204268464e-05,0.575173865717335,6.053635325723755e-05
anti,pgem,10,0.7911387640237808,0.0001176748935664,0.8727615594863891,0.0001034106737044,0.577516625254371,0.0002334290671236
anti,rc,10,0.7794699311256409,1.6275237896035647e-05,0.8633894383907318,1.6088053295633632e-05,0.5558019539785131,3.181418961356626e-05
anti,GradEM,20,0.790675038099289,4.121405348074658e-05,0.8724390983581543,5.290209432768629e-05,0.5765967575991768,8.172707387908324e-05
anti,barp,20,0.7807869851589203,2.796685819911869e-05,0.8648318648338318,2.701884530479696e-05,0.5569823258204403,5.545200818067467e-05
anti,bt,20,0.780781888961792,2.7838358116179147e-05,0.8648279726505279,2.671039757028744e-05,0.5569722416636335,5.521760365366254e-05
anti,crowdbt,20,0.7897926878929138,0.0002252508353518,0.8718512272834777,0.0001423974315776,0.574846477855083,0.0004468197282788
anti,factorbt,20,0.7879717290401459,0.000107164667438,0.8267888426780701,0.0001694069200721,0.5712344025709268,0.0002125840082309
anti,pgem,20,0.7909372973442078,0.0002477495652343,0.8725904244184494,0.0002367935589012,0.5771170006375822,0.0004914494026574
anti,rc,20,0.7777779221534729,2.0821273469434336e-05,0.8621553719043732,1.9406185841725625e-05,0.5519248238421255,4.328479658699533e-05
anti,GradEM,40,0.7902611911296844,8.424358659370392e-05,0.8721504390239716,7.617645255208393e-05,0.5757758242719305,0.0001670716118535
anti,barp,40,0.7678206861019135,3.0164699995583583e-05,0.8536912560462951,3.0616617242527584e-05,0.531261785008225,5.982184875449268e-05
