percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.6898623019456863,0.0035275176599561765,0.7499176472425461,0.003821149324935942,0.35846354975418493,0.006659703369322577
20,0.6907209992408753,0.0010336809267019824,0.7502909219264984,0.0013990287270231967,0.36008478701133795,0.0019516029984113469
40,0.6911916369199753,0.0037841489976200575,0.7508661699295044,0.004415340528225743,0.36097326499794724,0.007144540484169645
60,0.688966149687767,0.0015945144427959713,0.7496862018108368,0.001931368688895266,0.35677149052538154,0.0030104780121413786
80,0.6775698834657669,0.0322447212691906,0.7341871416568756,0.04362354364574482,0.33525546742887047,0.0608787120847638
