percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.7029936301708222,0.0018516893139708663,0.7631219744682312,0.0019027125438377049,0.3832556233482817,0.0034960210110122404
20,0.7013059163093567,0.0031724125788622328,0.7614724999666214,0.0035244677503607626,0.3800691867908141,0.005989577315348675
40,0.7008969569206238,0.0039919953877397,0.7614366817474365,0.0044282689433848025,0.3792970696419744,0.007536957611211942
60,0.6994614183902741,0.004955947642014687,0.760192294716835,0.005450656533309103,0.3765867497563906,0.00935691669340884
80,0.6980511200428009,0.005477539476657137,0.7588621872663498,0.005964940447040241,0.37392407965782476,0.010341693170202096
