percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.652162903547287,0.0014645847945635058,0.7129169166088104,0.0015188971006085121,0.2885695227380337,0.002636350476960062
20,0.6524960339069367,0.0032451914361629653,0.7138604342937469,0.003910385190394802,0.28842772785242515,0.006109292883299432
40,0.652853399515152,0.003308348756985091,0.7140038311481476,0.0057677751646712065,0.288846511414591,0.006211491325283045
60,0.6507021248340606,0.006694035910328338,0.7111287415027618,0.010438031309947042,0.28464778709889665,0.012647507445537845
80,0.645952332019806,0.008448895683123101,0.7048948168754577,0.013771173951120408,0.2757215054877353,0.015950048708921253
