percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.6028751194477081,0.009106672291039957,0.643935477733612,0.010783783258973865,0.1942319678342485,0.01719590848222801
20,0.5767335951328277,0.012249092143034605,0.6065902829170227,0.015375688235083899,0.14487441244952434,0.023126508073504293
40,0.5525596439838409,0.008525400462386474,0.5732027769088746,0.010563937064351731,0.09923354045220413,0.016096125589406166
60,0.5398911714553833,0.011851552886658361,0.5567186713218689,0.01465298016329829,0.07531525336064933,0.022375950339752752
80,0.536156952381134,0.011219926302299963,0.5518954157829284,0.013920521095287042,0.06826689686494689,0.02118192536348192
