percent,CrowdBT_acc_mean,CrowdBT_acc_std,CrowdBT_wacc_mean,CrowdBT_wacc_std,CrowdBT_tau_mean,CrowdBT_tau_std
10,0.7024168878793716,0.001315656646660695,0.7622597801685334,0.0012730220100649569,0.3821667304153463,0.0024839825398627552
20,0.7035223132371903,0.0014247566250750216,0.7628912204504013,0.001238564945589687,0.3842537910867347,0.002689972842014655
40,0.7030835771560668,0.001790928819132021,0.7629500889778137,0.0015153124367903526,0.38342544718921373,0.003381300199565223
60,0.702713183760643,0.002465831354218649,0.7633631271123886,0.002214367233426154,0.3827261389149376,0.004655534869844399
80,0.6917090135812759,0.0300093511487422,0.7505031126737595,0.03786047807337566,0.3619500693784978,0.05665819374443089
