percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.7874255776405334,0.0002551775240087004,0.8697619020938874,0.0002849572247766781,0.5701509667307694,0.0005061210623936598
20,0.7854245483875275,0.0003260906370970529,0.8684148371219635,0.0003832460069471662,0.566181653327668,0.0006468810253525462
40,0.7819086790084839,0.00035414154823664476,0.8656533181667327,0.0004812860609966396,0.5592073847763723,0.0007025125458259382
60,0.7788270473480224,0.0006719055460471459,0.8631709098815918,0.0008690929662984954,0.5530945423777083,0.0013328193699961126
80,0.7757616877555847,0.0007833905986351789,0.8604608118534088,0.0009800381779810846,0.5470139244592119,0.00155395937988761
