percent,FactorBT_acc_mean,FactorBT_acc_std,FactorBT_wacc_mean,FactorBT_wacc_std,FactorBT_tau_mean,FactorBT_tau_std
10,0.7901147961616516,0.0001898599638160286,0.828450745344162,0.00029296796571135235,0.5754857186655744,0.0003766144324099106
20,0.7885349035263062,0.0006741214716201729,0.8268599808216095,0.0009143310790055367,0.5723515994263276,0.0013372299330639407
40,0.7867119014263153,0.0005693744461865037,0.8254255414009094,0.0006599869274582616,0.5687353105905203,0.0011294415403037665
60,0.7854788661003113,0.0005576401449364461,0.8243483960628509,0.0008170165174738285,0.5662894338308121,0.0011061608286918117
80,0.7829454183578491,0.0006650454925830581,0.8220394492149353,0.0011259746884731635,0.5612639918835141,0.0013192116235455696
