percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.7799784421920777,0.000133670572394434,0.8639017760753631,0.00014192547077368977,0.5568622035661959,0.0002724914978987241
20,0.7793518841266632,0.0001510076504459373,0.8634467542171478,0.0001677067601061285,0.5550529968580455,0.000300084415042891
40,0.7779807150363922,0.00016972555309878687,0.8622170925140381,0.00022242016757222736,0.5520168150549353,0.0003325316366435637
60,0.7763905465602875,0.0003369327629825997,0.860917741060257,0.00043019201887776207,0.5487098638896083,0.0006668315782520071
80,0.7745222508907318,0.000457175755871451,0.8592785954475403,0.0005961632120680717,0.5448901905657502,0.0009090958307673549
