percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.6946278429031372,0.002981059068537203,0.7549875712394715,0.0036677127342834848,0.3674608791301037,0.0056283014355069435
20,0.6954012334346771,0.002234686592842773,0.7558070743083953,0.002912480129885263,0.3689210426200829,0.004219135495441665
40,0.6945194190740586,0.004022516455274322,0.754625831246376,0.0046725031358743,0.3672570549493413,0.007595016109345535
60,0.6932292526960373,0.0034229156026147943,0.7533709216117859,0.0036174330555846126,0.3648207985743398,0.006462740221517904
80,0.6919198018312455,0.0028554373084651937,0.7519054806232452,0.0034602656249813216,0.36234848519831997,0.005390387044144631
