percent,FactorBT_acc_mean,FactorBT_acc_std,FactorBT_wacc_mean,FactorBT_wacc_std,FactorBT_tau_mean,FactorBT_tau_std
10,0.7899576127529144,3.050750944906401e-05,0.8284351646900177,8.529377204268464e-05,0.575173865717335,6.053635325723755e-05
20,0.7879717290401459,0.00010716466743803073,0.8267888426780701,0.0001694069200721794,0.5712344025709268,0.00021258400823095664
40,0.779726368188858,0.00044526327459305115,0.8204277634620667,0.00047954380324023894,0.5548784833613627,0.000883242910546882
60,0.7478427350521087,0.0008785237896052814,0.7896042227745056,0.0009095709633923002,0.49163266568611685,0.001742693621154441
80,0.6733195424079895,0.0004042864276418378,0.7111412823200226,0.0006173850857778534,0.34380503652742467,0.0008018942959307978
