percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.7908385515213012,7.582997829135214e-05,0.8725792050361634,6.538826653457152e-05,0.5769210981143076,0.0001504030219393903
20,0.790675038099289,4.121405348074658e-05,0.8724390983581543,5.290209432768629e-05,0.5765967575991768,8.172707387908324e-05
40,0.7902611911296844,8.424358659370392e-05,0.8721504390239716,7.617645255208393e-05,0.5757758242719305,0.00016707161185352466
60,0.7903213262557983,5.190432701059219e-05,0.8722238719463349,5.409436637064218e-05,0.5758951094499228,0.00010296024324445313
80,0.7901620984077453,5.1341268237931014e-05,0.872038871049881,5.5577304198188123e-05,0.5755792324266846,0.00010185675556944137
