percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.7796099066734314,0.0002279295298428549,0.8636981308460235,0.00021801572994258495,0.5561132737234893,0.00044929571026901884
20,0.7788507580757141,0.0002848734881875293,0.8629982769489288,0.00024326216982741285,0.5540407394337741,0.0005635841846473467
40,0.776954072713852,0.000353516584309269,0.861352926492691,0.00036396311713616326,0.5500369599210411,0.0006989333826443442
60,0.7747990727424622,0.000606983309466802,0.8594824075698853,0.0006340589495032631,0.5456061612966078,0.0012049708078996646
80,0.7721171319484711,0.00084410904585885,0.8570467472076416,0.0009298119340978915,0.5401724981725659,0.0016775978041709354
