percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.7872809648513794,1.8261092830988194e-05,0.8694719314575196,1.0209640612898862e-05,0.5698640793235344,3.624009543220006e-05
20,0.7850604474544525,2.3284599301287615e-05,0.8678857505321502,3.799976363300791e-05,0.5654594045361026,4.620927665716278e-05
40,0.7793962597846985,2.051990122380006e-05,0.8632303714752197,1.8201607308883115e-05,0.5542236027687818,4.0730511901631454e-05
60,0.7737215757369995,3.2883499525127456e-05,0.8583369314670563,3.508165996416748e-05,0.5429670804995398,6.52456796373792e-05
80,0.7673585295677186,3.7505152217794976e-05,0.8524386644363403,3.66575562790244e-05,0.5303450092255009,7.438182246306305e-05
