percent,FactorBT_acc_mean,FactorBT_acc_std,FactorBT_wacc_mean,FactorBT_wacc_std,FactorBT_tau_mean,FactorBT_tau_std
10,0.7907440364360809,1.3513182749165753e-05,0.8291827261447906,4.539240277835055e-05,0.5767342625947687,2.691139044920144e-05
20,0.790564501285553,4.4005025393420104e-05,0.8289237141609191,6.20688943818501e-05,0.5763780106356695,8.733451768268416e-05
40,0.7895833909511566,7.035461937538433e-05,0.8285472393035889,8.40258201222569e-05,0.5744328223307841,0.000139570036832929
60,0.7882502496242523,7.100367402139039e-05,0.8272661864757538,6.52110730917643e-05,0.5717880846368019,0.00014077069243801564
80,0.7865244626998902,7.541405597224314e-05,0.8251965939998627,7.935987341022195e-05,0.5683698955543098,0.0001496729396694639
