percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.7799962639808655,5.742486069471923e-06,0.8638032734394073,8.451570820976813e-06,0.5570435891786228,1.3412951230719516e-05
20,0.7794868171215057,1.4193217662952764e-05,0.8634217023849488,1.96230259087009e-05,0.5555069431380253,2.509527622100073e-05
40,0.7775409460067749,1.2935669108885678e-05,0.8616943955421448,1.4600266933422154e-05,0.5511828030999618,2.510028799600142e-05
60,0.7754888534545898,1.6552693853077706e-05,0.8599232971668244,1.796273664231316e-05,0.5469650273308074,3.2778045559712724e-05
80,0.7728047132492065,1.8395024744762624e-05,0.8575216948986053,1.8240424683440766e-05,0.5415602098361111,3.6449243964245035e-05
