Method,acc_mean,acc_std,wacc_mean,wacc_std,tau_mean,tau_std
GradEM,0.6985240876674652,0.0008998396815844701,0.7583310902118683,0.0009670574004366093,0.3748170366665421,0.0016989014194708297
PGEM,0.6946465194225311,0.0005217393074741697,0.755181896686554,0.0006608944057229961,0.3674961233890967,0.0009850565225552452
Simple BT,0.6804668307304382,0.0,0.74333256483078,0.0,0.3408721163582005,0.0
RC,0.6521800756454468,0.0,0.71303790807724,0.0,0.2891796316210329,0.0
CrowdBT,0.7044227123260498,0.0008876429468347528,0.7640507102012635,0.000879096424574269,0.38595374488838885,0.001675885754137508
FactorBT,0.6973661780357361,0.0,0.74295973777771,0.0,0.3726308644381563,0.0
