percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.7915120840072631,6.399811968182026e-05,0.873089873790741,6.211023180382994e-05,0.5782571537753632,0.00012693430400679333
20,0.791473001241684,4.6699600148408517e-05,0.8730684638023376,4.6737740816598946e-05,0.5781796458007363,9.26157601523655e-05
40,0.7914688348770141,8.406547984323484e-05,0.8731100618839264,8.02289697790977e-05,0.5781713760520066,0.00016676646096499257
60,0.7914272129535675,7.241776472763165e-05,0.8730688512325286,7.05299928100712e-05,0.578088775519472,0.00014365779470139025
80,0.7914757668972016,5.638221624484271e-05,0.8730962872505188,5.77709790542133e-05,0.5781850982980375,0.00011182540207674048
