percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.7873408257961273,2.494564333125321e-05,0.8699096500873565,2.487273259505059e-05,0.5699828634040542,4.948197625347214e-05
20,0.784875339269638,3.056490442008255e-05,0.8681962251663208,5.375719880622448e-05,0.5650921979346425,6.0594256183027384e-05
40,0.7806514084339142,2.421448579181154e-05,0.8648636043071747,2.7331810437502924e-05,0.5567133883116249,4.803311487705112e-05
60,0.7758233487606049,4.0042056553929895e-05,0.8608933329582215,4.6537512665023455e-05,0.5471362021592537,7.942594568160348e-05
80,0.7705878496170044,2.5679072813425315e-05,0.8563360750675202,2.7682992743038088e-05,0.5367508457709305,5.091508454703753e-05
