percent,FactorBT_acc_mean,FactorBT_acc_std,FactorBT_wacc_mean,FactorBT_wacc_std,FactorBT_tau_mean,FactorBT_tau_std
10,0.7893635034561157,2.839741933565914e-05,0.8283060491085052,5.043115320984837e-05,0.573995687668416,5.635401434494981e-05
20,0.7882111132144928,3.8099710888996794e-05,0.8268455922603607,7.62329912793244e-05,0.5717096926332526,7.56018903690822e-05
40,0.7867786109447479,6.233229103506886e-05,0.8258087158203125,0.0001343625528378864,0.5688683101014584,0.00012360883043224428
60,0.784900575876236,0.0002805405734486355,0.8246490955352783,0.0003236248742031418,0.5651433361869839,0.0005565678811233865
80,0.7820444464683532,9.474297763515372e-05,0.8223136961460114,0.00011774269680804894,0.5594781457318609,0.0001879077641977009
