percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.6955964684486389,0.0010160171469449425,0.7549429655075073,0.0007353410516347188,0.36928966137245417,0.0019182466793526956
20,0.6951775312423706,0.00040782282356054665,0.754220312833786,0.00047932263631291747,0.3684986749079555,0.0007699733787585754
40,0.6942235231399536,0.0012234761652176111,0.7533932089805603,0.0009995449560787654,0.36669751295867514,0.0023099492309793966
60,0.6923700511455536,0.001017656326043286,0.7524456202983856,0.0009368686067005946,0.3631981126000731,0.0019213575879664922
80,0.6897341907024384,0.0020973340728097753,0.7495763838291168,0.0018415971048327691,0.3582215688439132,0.003959813700288322
