percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.6676267147064209,0.0004206270618751149,0.7306420624256134,0.0006655828326127429,0.31658656518075967,0.0008051336041761765
20,0.6625286519527436,0.001536093802604316,0.7211965501308442,0.0021269328584134373,0.306963199053705,0.002911738262959851
40,0.6301644563674926,0.000699525368523002,0.6809242904186249,0.0008205197284735599,0.24587865920669438,0.0012961495919007332
60,0.6042510747909546,0.0002963227776900155,0.6477489769458771,0.0003349428981920861,0.19694578799929754,0.0005393441969098323
80,0.5824737310409546,0.0002669153057423739,0.6193772912025451,0.000429090781074454,0.15581843350545696,0.0004946733479065948
