percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.7868151307106018,0.00032587038417951174,0.869502866268158,0.00035485383278454225,0.5689400434412846,0.0006464183398484945
20,0.784016090631485,0.0005653894782523482,0.8672696113586426,0.0006236971701459004,0.5633877516980268,0.0011215537669373222
40,0.7791889786720276,0.0007766767303301807,0.8633740305900574,0.0007627114518723544,0.5538124527342712,0.0015406129775465596
60,0.7744697749614715,0.0010512324989890149,0.8594432055950165,0.001037741977946113,0.5444512458094051,0.002085256920912908
80,0.7692077696323395,0.0013070897454779758,0.8547601401805878,0.001234444180590007,0.5340132807612689,0.002592805494715934
