percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.7869363367557526,0.0002515727805066391,0.8696435987949371,0.00024617759872192256,0.5691804906465663,0.0004990406480155623
20,0.7842357099056244,0.0003067615157111604,0.8675536036491394,0.0003968589373763829,0.5638234050461011,0.0006085077284618268
40,0.7793568015098572,0.0006064639419246072,0.8636581122875213,0.0006473248382374987,0.5541453552932627,0.0012029864815201149
60,0.7744121491909027,0.0006209123258706652,0.8594104230403901,0.0007256617111257373,0.5443368882636246,0.0012316725833303292
80,0.7693229973316192,0.0008943571663403316,0.854932701587677,0.0009378785920361535,0.5342418221502139,0.0017740708751155295
