SpammerType,method,percent,acc_mean,acc_std,wacc_mean,wacc_std,tau_mean,tau_std
equal,barp,60,0.6635280668735504,0.0079525422098147,0.7194025039672851,0.0092891404743263,0.3087482909182718,0.0150125192176473
equal,bt,60,0.663098007440567,0.0097547361414287,0.7213944673538208,0.0110118021894881,0.3080939929009784,0.018379957232121
equal,crowdbt,60,0.6994614183902741,0.0049559476420146,0.760192294716835,0.0054506565333091,0.3765867497563906,0.0093569166934088
equal,factorbt,60,0.6807232201099396,0.0056807099861025,0.7281165957450867,0.0083580355758257,0.3412086888870069,0.0107252909640765
equal,pgem,60,0.6882905811071396,0.003552309578992,0.7481610018014908,0.0037629670470924,0.3554961128095762,0.0067070092409069
equal,rc,60,0.6507021248340606,0.0066940359103283,0.7111287415027618,0.010438031309947,0.2846477870988966,0.0126475074455378
equal,GradEM,80,0.691062730550766,0.0044061963066921,0.7520230412483215,0.0045547323110825,0.3607298536325409,0.0083189713880238
equal,barp,80,0.6556750237941742,0.0081858561146523,0.7101809084415436,0.0096485831156093,0.2939226660148794,0.0154568829746642
equal,bt,80,0.6587681829929352,0.0096014425495799,0.7157874345779419,0.0109690758803955,0.2998745437205959,0.0181322169318597
equal,crowdbt,80,0.6980511200428009,0.0054775394766571,0.7588621872663498,0.0059649404470402,0.3739240796578247,0.010341693170202
equal,factorbt,80,0.6747902810573578,0.0077016113867104,0.7220417082309722,0.0106275671654699,0.3300071769548157,0.0145407915179496
equal,pgem,80,0.6863816803693772,0.0048397472785035,0.7463018065690994,0.0055229162367295,0.3518919617355904,0.0091375283445599
equal,rc,80,0.645952332019806,0.0084488956831231,0.7048948168754577,0.0137711739511204,0.2757215054877353,0.0159500487089212
left,GradEM,10,0.6955964684486389,0.0010160171469449,0.7549429655075073,0.0007353410516347,0.3692896613724541,0.0019182466793526
left,barp,10,0.6764822244644165,0.0004608396203106,0.7416943848133087,0.0005799903822481,0.3332192644206438,0.0008688400757229
left,bt,10,0.6676267147064209,0.0004206270618751,0.7306420624256134,0.0006655828326127,0.3165865651807596,0.0008051336041761
left,crowdbt,10,0.7023372417688369,0.0011520893101952,0.7621434986591339,0.0012800865109104,0.3820163476875175,0.0021751700205313
left,factorbt,10,0.6941568970680236,0.0006800743702411,0.7388967752456665,0.0013929986404765,0.3665717175209475,0.0012839777781117
left,pgem,10,0.6898623019456863,0.0035275176599561,0.7499176472425461,0.0038211493249359,0.3584635497541849,0.0066597033693225
left,rc,10,0.6454617023468018,0.0003619405744743,0.7048059225082397,0.0003544476598433,0.2756959409394727,0.0006536471748807
left,GradEM,20,0.6951775312423706,0.0004078228235605,0.754220312833786,0.0004793226363129,0.3684986749079555,0.0007699733787585
left,barp,20,0.6702615678310394,0.0013277912254951,0.7303323209285736,0.0018654120060532,0.3214656740905263,0.0025011615910323
left,bt,20,0.6625286519527436,0.0015360938026043,0.7211965501308442,0.0021269328584134,0.306963199053705,0.0029117382629598
left,crowdbt,20,0.70347951233387,0.0014408120665259,0.7627769535779954,0.0012749463846764,0.3841729770479521,0.0027202795653745
left,factorbt,20,0.6873153865337371,0.0010495161496477,0.7313744366168976,0.0012837078322684,0.3536548132561083,0.0019815199309236
left,pgem,20,0.6907209992408753,0.0010336809267019,0.7502909219264984,0.0013990287270231,0.3600847870113379,0.0019516029984113
left,rc,20,0.6445268869400025,0.0004536654883894,0.7022316634654999,0.0004911468445824,0.2737173772738401,0.0008476724920064
left,GradEM,40,0.6942235231399536,0.0012234761652176,0.7533932089805603,0.0009995449560787,0.3666975129586751,0.0023099492309793
left,barp,40,0.6345074057579041,0.0007706471885575,0.6863390207290649,0.0009163053093996,0.2539684072443942,0.0014546952746426
left,bt,40,0.6301644563674926,0.000699525368523,0.6809242904186249,0.0008205197284735,0.2458786592066943,0.0012961495919007
left,crowdbt,40,0.7027112650871277,0.0022053753376282,0.7625325173139572,0.0020307084503341,0.3827225175311242,0.0041637896185198
left,factorbt,40,0.6673430502414703,0.0017801499362054,0.7044617295265198,0.0018278827610262,0.3159466778015446,0.0033609499537275
left,pgem,40,0.6911916369199753,0.00378414899762,0.7508661699295044,0.0044153405282257,0.3609732649979472,0.0071445404841696
left,rc,40,0.6321269571781158,0.000423369868719,0.6898888945579529,0.0004845807428909,0.2500835076668421,0.0007872615515897
left,GradEM,60,0.6923700511455536,0.0010176563260432,0.7524456202983856,0.0009368686067005,0.3631981126000731,0.0019213575879664
left,barp,60,0.6055230855941772,0.0003048329483543,0.6484217166900634,0.0002957155225822,0.199254500376843,0.0005750597035348
left,bt,60,0.6042510747909546,0.00029632277769,0.6477489769458771,0.000334942898192,0.1969457879992975,0.0005393441969098
left,crowdbt,60,0.7028170639276504,0.00171866124294,0.763533364534378,0.0016368219693086,0.3829222654383037,0.0032448623321265
left,factorbt,60,0.6449256420135498,0.0011240386050443,0.6787667751312256,0.0017600592702778,0.2736222309806771,0.0021222031883807
left,pgem,60,0.688966149687767,0.0015945144427959,0.7496862018108368,0.0019313686888952,0.3567714905253815,0.0030104780121413
left,rc,60,0.6179957032203675,0.0005158258127226,0.6723214209079742,0.0006427893806503,0.2232379062515939,0.0009781215994952
left,GradEM,80,0.6897341907024384,0.0020973340728097,0.7495763838291168,0.0018415971048327,0.3582215688439132,0.0039598137002883
left,barp,80,0.5828371584415436,0.0002071631769816,0.6187743604183197,0.0003031547471371,0.1564052001552216,0.0003896911137545
left,bt,80,0.5824737310409546,0.0002669153057423,0.6193772912025451,0.0004290907810744,0.1558184335054569,0.0004946733479065
left,crowdbt,80,0.6948347914218903,0.0295766102924887,0.7536421537399292,0.0379880878528737,0.367851590800251,0.0558411693845325
